id,income
1,39985
2,45742
3,29539
4,64841
5,38161
6,45996
7,59846
8,29246
9,40734
10,43913
11,43307
12,45742
13,35890
14,64841
15,35655
16,43435
17,29246
18,60631
19,40734
20,32374
21,35890
22,47214
23,34731
24,43307
25,50796
26,47214
27,50385
28,34731
29,29246
30,50385
31,29990
32,40866
33,35653
34,40866
35,21638
36,71232
37,43435
38,46083
39,38161
40,60631
41,43307
42,35653
43,32374
44,60631
45,43307
46,29246
47,57292
48,42018
49,88605
50,34936
51,32374
52,38161
53,45742
54,34731
55,39985
56,47214
57,46638
58,39048
59,43435
60,45742
61,35833
62,43435
63,29246
64,33495
65,34731
66,50385
67,35655
68,40866
69,49841
70,58905
71,64483
72,33495
73,43307
74,141636
75,64841
76,43913
77,38161
78,43913
79,43435
80,38161
81,40734
82,46083
83,43435
84,46638
85,43307
86,43913
87,51000
88,19996
89,29246
90,107431
91,60823
92,40866
93,35655
94,53062
95,29990
96,43435
97,29539
98,29246
99,35655
100,43435
101,29246
102,46083
103,29246
104,57292
105,58905
106,34936
107,39048
108,60631
109,50227
110,50385
111,45742
112,32374
113,33495
114,58076
115,39985
116,29990
117,43913
118,67751
119,82597
120,45717
121,47214
122,39576
123,72333
124,43913
125,129510
126,45996
127,32374
128,34936
129,40763
130,60631
131,35653
132,43913
133,35653
134,59846
135,32374
136,29246
137,45996
138,39985
139,58905
140,35890
141,42018
142,29246
143,32374
144,45996
145,35890
146,45742
147,35653
148,40734
149,27352
150,39048
151,142549
152,45742
153,46083
154,60631
155,40734
156,43813
157,38161
158,42018
159,38161
160,35890
161,45742
162,59732
163,40763
164,46083
165,34936
166,43913
167,45742
168,58905
169,50385
170,43307
171,43435
172,35655
173,46638
174,35653
175,45666
176,23708
177,40866
178,77988
179,35655
180,38161
181,40866
182,90166
183,47214
184,43913
185,50385
186,32160
187,34731
188,39048
189,45996
190,62857
191,127933
192,40866
193,40734
194,54937
195,29246
196,40734
197,32374
198,29246
199,44666
200,45996
201,58905
202,46638
203,71232
204,35655
205,45996
206,148200
207,60631
208,110833
209,34731
210,73111
211,46083
212,40734
213,40866
214,50385
215,45742
216,40866
217,25111
218,40763
219,77988
220,48809
221,34936
222,43913
223,43307
224,88605
225,35653
226,77988
227,58905
228,45717
229,38161
230,46083
231,58905
232,45742
233,60631
234,54654
235,35655
236,32374
237,35890
238,40866
239,57292
240,60631
241,43307
242,127933
243,64841
244,46638
245,64841
246,43307
247,35890
248,84947
249,43307
250,41513
251,45742
252,35739
253,32374
254,46638
255,46083
256,77988
257,40763
258,35653
259,40734
260,60631
261,73111
262,108971
263,127933
264,54654
265,60631
266,34936
267,94711
268,60631
269,21638
270,43622
271,38161
272,35833
273,40734
274,34936
275,34936
276,35653
277,35653
278,40763
279,35890
280,46083
281,77988
282,34936
283,39048
284,35655
285,51716
286,40734
287,107431
288,40866
289,45742
290,35890
291,43913
292,32374
293,70200
294,47214
295,46083
296,52436
297,35890
298,35655
299,40866
300,108971
301,34936
302,67751
303,45996
304,35653
305,60631
306,43435
307,74508
308,35653
309,60631
310,51315
311,64841
312,32374
313,43435
314,35833
315,38161
316,71232
317,71232
318,43307
319,104923
320,34731
321,34731
322,47214
323,43435
324,43622
325,40866
326,35655
327,40866
328,75722
329,64841
330,41022
331,47214
332,38161
333,45996
334,40866
335,29246
336,55600
337,59261
338,138807
339,103717
340,77988
341,43307
342,29246
343,32374
344,50385
345,35653
346,59732
347,39576
348,140344
349,43307
350,98733
351,43622
352,40866
353,32374
354,34936
355,46638
356,47214
357,35655
358,47214
359,35653
360,29539
361,32160
362,43813
363,45742
364,47214
365,35653
366,45996
367,35890
368,29246
369,43307
370,60631
371,84947
372,32374
373,35655
374,40763
375,74508
376,45742
377,35653
378,49841
379,45742
380,38161
381,35653
382,34936
383,130717
384,58905
385,34731
386,45742
387,32374
388,39048
389,35653
390,64841
391,72681
392,47214
393,43913
394,38161
395,45717
396,34731
397,35655
398,43913
399,67751
400,88605
401,46638
402,47214
403,21638
404,46638
405,45742
406,43913
407,43307
408,43435
409,32160
410,35655
411,57292
412,29990
413,47214
414,50385
415,40866
416,46638
417,45666
418,46638
419,47214
420,77988
421,31500
422,40866
423,39048
424,43435
425,34936
426,50385
427,29246
428,43913
429,29246
430,46638
431,74475
432,23176
433,29551
434,38161
435,34936
436,46083
437,38161
438,59800
439,43622
440,35655
441,93073
442,35653
443,115756
444,58905
445,39048
446,47214
447,43813
448,35890
449,35655
450,38161
451,35655
452,35655
453,34936
454,35890
455,43307
456,43813
457,38161
458,38161
459,39048
460,54654
461,53596
462,53062
463,45717
464,43435
465,52436
466,43435
467,107431
468,46083
469,43307
470,104923
471,38161
